MSE,PSNR,SSIM,bn_loss,candidate_rank,candidate_score,candidate_seed,checkpoint_path,class_id,class_ids,class_name,cosine_loss,device,download_cifar10,embedding_cosine_to_target,embedding_loss,figure_path,image_size,l2_loss,lambda_bn,lambda_cosine,lambda_embedding,lambda_l2,lambda_logit,lambda_tv,load_style,loaded_layers,logit_loss,lr_image,lr_z,margin_loss,model_layers,multi_crop_count,multistart_count,nearest_embedding_cosine,nearest_index_within_class,negative_loss,num_classes,objective_loss,objective_name,parameter_count,parameterization,pretrained_description,reference_max_per_class,reference_split,runtime_seconds,seed,seeds,skipped_layers_count,steps_image,steps_z,target_confidence,top1_class,top1_confidence,top_k,topk_contains_target,tv_loss,use_augmentations,variant,weight_bn_loss,weight_cosine_loss,weight_embedding_loss,weight_l2_loss,weight_logit_loss,weight_margin_loss,weight_negative_loss,weight_source,weight_tv_loss,status,dataset_name,resolution,pixel_count,depth,MSE_normalized,PSNR_normalized
0.0894926413893699,10.482126734592432,-0.0104093831032514,0.2000037580728531,1,0.848186182975769,1030,D:\IE_643_Project\pre_trained_model_weights\resnet34_cifar10.pth,0,"(0, 1, 8)",airplane,0.2946507632732391,cpu,True,0.6963728666305542,0.241132378578186,D:\IE_643_Project\results\phase1_baseline\figures\resnet34_plug_in_aug_sigmoid_class0_airplane_seed21.png,32,0.3076341152191162,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,218,-12.721805572509766,0.03,0.01,0.0,218,3,2,0.8733277916908264,250,0.7451671957969666,10,-0.8488908410072327,plug_in_aug_sigmoid,21282122,sigmoid,local CIFAR-10 checkpoint: resnet34_cifar10.pth,500,train,207.5797416998539,21,"(7, 21, 42)",0,500,300,0.9999992847442628,0,0.9999992847442628,5,True,0.1203290522098541,True,resnet34,0.025,0.5,1.0,7e-05,0.1,0.25,0.04,local_cifar10,3e-05,completed,CIFAR-10,32x32,3072,34,0.0894926413893699,10.482126734592432
0.0757809206843376,11.204401226596207,0.0291144307702779,0.2021855264902115,0,0.8504331350326538,42,D:\IE_643_Project\pre_trained_model_weights\resnet34_cifar10.pth,0,"(0, 1, 8)",airplane,0.3069091737270355,cpu,True,0.7008665204048157,0.2421027421951294,D:\IE_643_Project\results\phase1_baseline\figures\resnet34_plug_in_aug_sigmoid_class0_airplane_seed42.png,32,0.2991040050983429,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,218,-12.451766967773438,0.03,0.01,0.0,218,3,2,0.875177264213562,250,0.7436211705207825,10,-0.8147952556610107,plug_in_aug_sigmoid,21282122,sigmoid,local CIFAR-10 checkpoint: resnet34_cifar10.pth,500,train,219.70826370012944,42,"(7, 21, 42)",0,500,300,0.9999996423721312,0,0.9999996423721312,5,True,0.1216397136449813,True,resnet34,0.025,0.5,1.0,7e-05,0.1,0.25,0.04,local_cifar10,3e-05,completed,CIFAR-10,32x32,3072,34,0.0757809206843376,11.204401226596207
0.1818291097879409,7.403365875153439,-0.012163933366537,0.2034835070371627,1,0.8802329301834106,1016,D:\IE_643_Project\pre_trained_model_weights\resnet34_cifar10.pth,1,"(0, 1, 8)",automobile,0.2504570782184601,cpu,True,0.7604658603668213,0.2176152914762497,D:\IE_643_Project\results\phase1_baseline\figures\resnet34_plug_in_aug_sigmoid_class1_automobile_seed7.png,32,0.3104058802127838,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,218,-22.617197036743164,0.03,0.01,0.0,218,3,2,0.945470690727234,460,2.61113715171814,10,-1.809315204620361,plug_in_aug_sigmoid,21282122,sigmoid,local CIFAR-10 checkpoint: resnet34_cifar10.pth,500,train,208.9772542999126,7,"(7, 21, 42)",0,500,300,1.0,1,1.0,5,True,0.2129505425691604,True,resnet34,0.025,0.5,1.0,7e-05,0.1,0.25,0.04,local_cifar10,3e-05,completed,CIFAR-10,32x32,3072,34,0.1818291097879409,7.403365875153439
0.1818564981222152,7.402711760599132,-0.0429659076035022,0.205746129155159,0,0.8756694495677948,21,D:\IE_643_Project\pre_trained_model_weights\resnet34_cifar10.pth,1,"(0, 1, 8)",automobile,0.2551446259021759,cpu,True,0.7513388991355896,0.2284398078918457,D:\IE_643_Project\results\phase1_baseline\figures\resnet34_plug_in_aug_sigmoid_class1_automobile_seed21.png,32,0.3483495712280273,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,218,-22.827348709106445,0.03,0.01,0.0,218,3,2,0.9528031349182128,460,2.450178861618042,10,-1.823541522026062,plug_in_aug_sigmoid,21282122,sigmoid,local CIFAR-10 checkpoint: resnet34_cifar10.pth,500,train,278.71308010001667,21,"(7, 21, 42)",0,500,300,1.0,1,1.0,5,True,0.1994785368442535,True,resnet34,0.025,0.5,1.0,7e-05,0.1,0.25,0.04,local_cifar10,3e-05,completed,CIFAR-10,32x32,3072,34,0.1818564981222152,7.402711760599132
0.1761605143547058,7.540914303143968,0.0387912727892398,0.2008480578660965,1,0.8787603378295898,1051,D:\IE_643_Project\pre_trained_model_weights\resnet34_cifar10.pth,1,"(0, 1, 8)",automobile,0.2442484050989151,cpu,True,0.7575206756591797,0.2185508012771606,D:\IE_643_Project\results\phase1_baseline\figures\resnet34_plug_in_aug_sigmoid_class1_automobile_seed42.png,32,0.2962640523910522,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,218,-26.27294158935547,0.03,0.01,0.0,218,3,2,0.9501329660415648,460,2.9890050888061523,10,-2.162010908126831,plug_in_aug_sigmoid,21282122,sigmoid,local CIFAR-10 checkpoint: resnet34_cifar10.pth,500,train,198.02824090002105,42,"(7, 21, 42)",0,500,300,1.0,1,1.0,5,True,0.208376795053482,True,resnet34,0.025,0.5,1.0,7e-05,0.1,0.25,0.04,local_cifar10,3e-05,completed,CIFAR-10,32x32,3072,34,0.1761605143547058,7.540914303143968
0.1251766681671142,9.02476612264222,-0.0286497250199317,0.2036851197481155,0,0.8550777733325958,7,D:\IE_643_Project\pre_trained_model_weights\resnet34_cifar10.pth,8,"(0, 1, 8)",ship,0.2913830578327179,cpu,True,0.7101555466651917,0.2456416338682174,D:\IE_643_Project\results\phase1_baseline\figures\resnet34_plug_in_aug_sigmoid_class8_ship_seed7.png,32,0.3253376185894012,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,218,-20.278995513916016,0.03,0.01,0.0,218,3,2,0.9598292708396912,250,1.8905092477798464,10,-1.5558273792266846,plug_in_aug_sigmoid,21282122,sigmoid,local CIFAR-10 checkpoint: resnet34_cifar10.pth,500,train,248.62398340017532,7,"(7, 21, 42)",0,500,300,1.0,8,1.0,5,True,0.1240133345127105,True,resnet34,0.025,0.5,1.0,7e-05,0.1,0.25,0.04,local_cifar10,3e-05,completed,CIFAR-10,32x32,3072,34,0.1251766681671142,9.02476612264222
0.1226932480931282,9.11179336185621,0.0431540198624134,0.2042839080095291,0,0.8587903678417206,21,D:\IE_643_Project\pre_trained_model_weights\resnet34_cifar10.pth,8,"(0, 1, 8)",ship,0.2861774563789367,cpu,True,0.7175807356834412,0.2436274290084839,D:\IE_643_Project\results\phase1_baseline\figures\resnet34_plug_in_aug_sigmoid_class8_ship_seed21.png,32,0.347818523645401,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,218,-18.683141708374023,0.03,0.01,0.0,218,3,2,0.9554477334022522,250,1.2217402458190918,10,-1.427593469619751,plug_in_aug_sigmoid,21282122,sigmoid,local CIFAR-10 checkpoint: resnet34_cifar10.pth,500,train,237.74715960002504,21,"(7, 21, 42)",0,500,300,1.0,8,1.0,5,True,0.1177914887666702,True,resnet34,0.025,0.5,1.0,7e-05,0.1,0.25,0.04,local_cifar10,3e-05,completed,CIFAR-10,32x32,3072,34,0.1226932480931282,9.11179336185621
0.1292559951543808,8.885493043107452,-0.0231325533241033,0.2031082510948181,1,0.859510749578476,1051,D:\IE_643_Project\pre_trained_model_weights\resnet34_cifar10.pth,8,"(0, 1, 8)",ship,0.284215360879898,cpu,True,0.7190214991569519,0.2371454685926437,D:\IE_643_Project\results\phase1_baseline\figures\resnet34_plug_in_aug_sigmoid_class8_ship_seed42.png,32,0.3036275207996368,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,218,-20.38960838317871,0.03,0.01,0.0,218,3,2,0.95364111661911,250,1.397841453552246,10,-1.5986919403076172,plug_in_aug_sigmoid,21282122,sigmoid,local CIFAR-10 checkpoint: resnet34_cifar10.pth,500,train,208.08118200022727,42,"(7, 21, 42)",0,500,300,1.0,8,1.0,5,True,0.1080208718776702,True,resnet34,0.025,0.5,1.0,7e-05,0.1,0.25,0.04,local_cifar10,3e-05,completed,CIFAR-10,32x32,3072,34,0.1292559951543808,8.885493043107452
0.1588844507932663,7.989186028877066,0.0604791454970836,192340.171875,0,0.7079916179180145,7,D:\IE_643_Project\pre_trained_model_weights\resnet50_cifar10 .pth,0,"(0, 1, 8)",airplane,0.6161746382713318,cpu,True,0.4159958362579345,0.3229840099811554,D:\IE_643_Project\results\phase1_baseline\figures\resnet50_plug_in_aug_sigmoid_class0_airplane_seed7.png,32,0.3363853693008423,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,320,-12.20914077758789,0.03,0.01,0.0,320,3,2,0.7635351419448853,241,2.3175361156463623,10,4808.00732421875,plug_in_aug_sigmoid,23520842,sigmoid,local CIFAR-10 checkpoint: resnet50_cifar10 .pth,500,train,327.07943070004694,7,"(7, 21, 42)",0,500,300,0.9999819993972778,0,0.9999819993972778,5,True,0.1364017874002456,True,resnet50,0.025,0.5,1.0,7e-05,0.1,0.25,0.04,local_cifar10,3e-05,completed,CIFAR-10,32x32,3072,50,0.1588844507932663,7.989186028877066
0.1658194661140442,7.803644874789263,0.0436334125697612,192340.140625,0,0.7085022091865539,21,D:\IE_643_Project\pre_trained_model_weights\resnet50_cifar10 .pth,0,"(0, 1, 8)",airplane,0.5969484448432922,cpu,True,0.4170154333114624,0.3200162649154663,D:\IE_643_Project\results\phase1_baseline\figures\resnet50_plug_in_aug_sigmoid_class0_airplane_seed21.png,32,0.3673089444637298,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,320,-12.899209022521973,0.03,0.01,0.0,320,3,2,0.7541059851646423,241,2.0563762187957764,10,4807.9140625,plug_in_aug_sigmoid,23520842,sigmoid,local CIFAR-10 checkpoint: resnet50_cifar10 .pth,500,train,318.3369141998701,21,"(7, 21, 42)",0,500,300,0.9999842643737792,0,0.9999842643737792,5,True,0.130236268043518,True,resnet50,0.025,0.5,1.0,7e-05,0.1,0.25,0.04,local_cifar10,3e-05,completed,CIFAR-10,32x32,3072,50,0.1658194661140442,7.803644874789263
