MSE,PSNR,SSIM,bn_loss,candidate_rank,candidate_score,candidate_seed,checkpoint_path,class_id,class_ids,class_name,cosine_loss,device,download_cifar10,embedding_cosine_to_target,embedding_loss,figure_path,image_size,l2_loss,lambda_bn,lambda_cosine,lambda_embedding,lambda_l2,lambda_logit,lambda_tv,load_style,loaded_layers,logit_loss,lr_image,lr_z,margin_loss,model_layers,multi_crop_count,multistart_count,nearest_embedding_cosine,nearest_index_within_class,negative_loss,num_classes,objective_loss,objective_name,parameter_count,parameterization,pretrained_description,reference_max_per_class,reference_split,runtime_seconds,seed,seeds,skipped_layers_count,steps_image,steps_z,target_confidence,top1_class,top1_confidence,top_k,topk_contains_target,tv_loss,use_augmentations,variant,weight_bn_loss,weight_cosine_loss,weight_embedding_loss,weight_l2_loss,weight_logit_loss,weight_margin_loss,weight_negative_loss,weight_source,weight_tv_loss
0.24796552956104279,6.056086875686005,0.007248062174767256,0.9949368238449097,0,0.324729660898447,21,D:\IE_643_Project\pre_trained_model_weights\resnet18_cifar10_trained.pth,0,"(0, 1, 8)",airplane,0.7893208265304565,cpu,True,0.21067920327186584,0.30087336897850037,D:\IE_643_Project\results\phase1_baseline\figures\resnet18_deepinv_margin_class0_airplane_seed21.png,32,0.2870129644870758,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,20,-0.7892181277275085,0.03,0.01,0.5103916525840759,122,1,1,0.5904923677444458,499,0.7807989120483398,10,0.7542418837547302,deepinv_margin,11173962,direct,local CIFAR-10 checkpoint: resnet18_cifar10_trained.pth,500,train,40.82624029996805,21,"(7, 21, 42)",102,500,300,0.19825731217861176,0,0.19825731217861176,5,True,0.40820610523223877,False,resnet18,0.02,0.5,1.0,0.0001,0.1,0.2,0.02,local_cifar10,2e-05
0.22373034060001373,6.502751162088787,0.02641180343925953,0.9938613772392273,0,0.3217277780175209,42,D:\IE_643_Project\pre_trained_model_weights\resnet18_cifar10_trained.pth,0,"(0, 1, 8)",airplane,0.7939773797988892,cpu,True,0.20602265000343323,0.43302756547927856,D:\IE_643_Project\results\phase1_baseline\figures\resnet18_deepinv_margin_class0_airplane_seed42.png,32,0.2558806538581848,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,20,-0.860938310623169,0.03,0.01,0.42622995376586914,122,1,1,0.560339629650116,499,0.8469751477241516,10,0.8660187721252441,deepinv_margin,11173962,direct,local CIFAR-10 checkpoint: resnet18_cifar10_trained.pth,500,train,40.84721689997241,42,"(7, 21, 42)",102,500,300,0.19633272290229797,0,0.19633272290229797,5,True,0.40183740854263306,False,resnet18,0.02,0.5,1.0,0.0001,0.1,0.2,0.02,local_cifar10,2e-05
0.159928098320961,7.9607522684981005,0.022983932867646217,0.9967254400253296,0,0.32039356231689453,7,D:\IE_643_Project\pre_trained_model_weights\resnet18_cifar10_trained.pth,1,"(0, 1, 8)",automobile,0.8082748651504517,cpu,True,0.19172513484954834,0.4768504798412323,D:\IE_643_Project\results\phase1_baseline\figures\resnet18_deepinv_margin_class1_automobile_seed7.png,32,0.23270128667354584,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,20,-0.9183206558227539,0.03,0.01,0.26263415813446045,122,1,1,0.9393912553787231,231,0.7877030968666077,10,0.8774027228355408,deepinv_margin,11173962,direct,local CIFAR-10 checkpoint: resnet18_cifar10_trained.pth,500,train,33.17703859996982,7,"(7, 21, 42)",102,500,300,0.21294569969177246,1,0.21294569969177246,5,True,0.41253232955932617,False,resnet18,0.02,0.5,1.0,0.0001,0.1,0.2,0.02,local_cifar10,2e-05
0.18331634998321533,7.367987985902972,-0.005657500121742487,0.9952170252799988,0,0.29432190507650374,21,D:\IE_643_Project\pre_trained_model_weights\resnet18_cifar10_trained.pth,1,"(0, 1, 8)",automobile,0.8305991291999817,cpu,True,0.1694008857011795,0.2981630563735962,D:\IE_643_Project\results\phase1_baseline\figures\resnet18_deepinv_margin_class1_automobile_seed21.png,32,0.2344127744436264,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,20,-0.6022288799285889,0.03,0.01,0.6017072200775146,122,1,1,0.5972342491149902,377,0.7495203614234924,10,0.8085061311721802,deepinv_margin,11173962,direct,local CIFAR-10 checkpoint: resnet18_cifar10_trained.pth,500,train,32.955797099974006,21,"(7, 21, 42)",102,500,300,0.17034703493118286,1,0.17034703493118286,5,True,0.3417551517486572,False,resnet18,0.02,0.5,1.0,0.0001,0.1,0.2,0.02,local_cifar10,2e-05
0.22640591859817505,6.451122242111053,0.0025789521168917418,0.9923858642578125,0,0.358425609767437,42,D:\IE_643_Project\pre_trained_model_weights\resnet18_cifar10_trained.pth,1,"(0, 1, 8)",automobile,0.7663413286209106,cpu,True,0.23365867137908936,0.43878379464149475,D:\IE_643_Project\results\phase1_baseline\figures\resnet18_deepinv_margin_class1_automobile_seed42.png,32,0.28265300393104553,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,20,-1.182663917541504,0.03,0.01,0.11515867710113525,122,1,1,0.6035585403442383,377,0.8486221432685852,10,0.763576865196228,deepinv_margin,11173962,direct,local CIFAR-10 checkpoint: resnet18_cifar10_trained.pth,500,train,33.583590500056744,42,"(7, 21, 42)",102,500,300,0.26170364022254944,1,0.26170364022254944,5,True,0.4356376528739929,False,resnet18,0.02,0.5,1.0,0.0001,0.1,0.2,0.02,local_cifar10,2e-05
0.2072000503540039,6.836101433840276,0.03175710514187813,0.9962102770805359,0,0.3019886054098606,7,D:\IE_643_Project\pre_trained_model_weights\resnet18_cifar10_trained.pth,8,"(0, 1, 8)",ship,0.8239696025848389,cpu,True,0.1760304719209671,0.48828765749931335,D:\IE_643_Project\results\phase1_baseline\figures\resnet18_deepinv_margin_class8_ship_seed7.png,32,0.2116362303495407,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,20,-0.7611656785011292,0.03,0.01,0.4136330485343933,122,1,1,0.9541597366333008,250,0.7843599915504456,10,0.9425227642059326,deepinv_margin,11173962,direct,local CIFAR-10 checkpoint: resnet18_cifar10_trained.pth,500,train,33.23624709993601,7,"(7, 21, 42)",102,500,300,0.18278105556964874,8,0.18278105556964874,5,True,0.38164445757865906,False,resnet18,0.02,0.5,1.0,0.0001,0.1,0.2,0.02,local_cifar10,2e-05
0.20269854366779327,6.931493715798739,0.013230799697339535,0.993955135345459,0,0.31313089430332186,21,D:\IE_643_Project\pre_trained_model_weights\resnet18_cifar10_trained.pth,8,"(0, 1, 8)",ship,0.8036959171295166,cpu,True,0.1963040828704834,0.3005112111568451,D:\IE_643_Project\results\phase1_baseline\figures\resnet18_deepinv_margin_class8_ship_seed21.png,32,0.2710876762866974,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,20,-0.6573005318641663,0.03,0.01,0.5392224192619324,122,1,1,0.5806121826171875,444,0.7286905646324158,10,0.7789618968963623,deepinv_margin,11173962,direct,local CIFAR-10 checkpoint: resnet18_cifar10_trained.pth,500,train,33.17004740005359,21,"(7, 21, 42)",102,500,300,0.18565386533737183,8,0.18565386533737183,5,True,0.410906046628952,False,resnet18,0.02,0.5,1.0,0.0001,0.1,0.2,0.02,local_cifar10,2e-05
0.2612206041812897,5.829925703934256,0.015950266271829605,0.9933120012283325,0,0.28787877708673476,42,D:\IE_643_Project\pre_trained_model_weights\resnet18_cifar10_trained.pth,8,"(0, 1, 8)",ship,0.8298871517181396,cpu,True,0.17011286318302155,0.42511385679244995,D:\IE_643_Project\results\phase1_baseline\figures\resnet18_deepinv_margin_class8_ship_seed42.png,32,0.20876376330852509,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,20,-0.5328291058540344,0.03,0.01,0.6939811110496521,122,1,1,0.5889713168144226,406,0.8129655718803406,10,0.9617241024971008,deepinv_margin,11173962,direct,local CIFAR-10 checkpoint: resnet18_cifar10_trained.pth,500,train,33.10418949997984,42,"(7, 21, 42)",102,500,300,0.15092098712921143,8,0.15092098712921143,5,True,0.3481222689151764,False,resnet18,0.02,0.5,1.0,0.0001,0.1,0.2,0.02,local_cifar10,2e-05
0.13590702414512634,8.667580968463454,0.04478416219353676,0.9999907612800598,1,0.28878948166966434,1016,D:\IE_643_Project\pre_trained_model_weights\resnet18_cifar10_trained.pth,0,"(0, 1, 8)",airplane,0.9247357249259949,cpu,True,0.17241188883781433,0.4663256108760834,D:\IE_643_Project\results\phase1_baseline\figures\resnet18_plug_in_aug_sigmoid_class0_airplane_seed7.png,32,0.0818943902850151,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,20,-0.18298138678073883,0.03,0.01,0.9532530307769775,122,3,2,0.970676064491272,293,0.7568714022636414,10,1.2039912939071655,plug_in_aug_sigmoid,11173962,sigmoid,local CIFAR-10 checkpoint: resnet18_cifar10_trained.pth,500,train,99.11050590011291,7,"(7, 21, 42)",102,500,300,0.15023867785930634,0,0.15023867785930634,5,True,0.0800616592168808,True,resnet18,0.025,0.5,1.0,7e-05,0.1,0.25,0.04,local_cifar10,3e-05
0.08196882903575897,10.863512689751193,-0.007542876061052084,1.0001063346862793,0,0.2882291987538338,21,D:\IE_643_Project\pre_trained_model_weights\resnet18_cifar10_trained.pth,0,"(0, 1, 8)",airplane,0.9179205894470215,cpu,True,0.182843416929245,0.2874605655670166,D:\IE_643_Project\results\phase1_baseline\figures\resnet18_plug_in_aug_sigmoid_class0_airplane_seed21.png,32,0.0897097960114479,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,20,-0.12555719912052155,0.03,0.01,1.1077485084533691,122,3,2,0.5872683525085449,499,0.7527575492858887,10,1.0659234523773193,plug_in_aug_sigmoid,11173962,sigmoid,local CIFAR-10 checkpoint: resnet18_cifar10_trained.pth,500,train,99.59022739995271,21,"(7, 21, 42)",102,500,300,0.13373568654060364,0,0.13373568654060364,5,True,0.06014552339911461,True,resnet18,0.025,0.5,1.0,7e-05,0.1,0.25,0.04,local_cifar10,3e-05
0.056653495877981186,12.467732862653119,-0.0007309109787456691,1.0003443956375122,0,0.2764908764511347,42,D:\IE_643_Project\pre_trained_model_weights\resnet18_cifar10_trained.pth,0,"(0, 1, 8)",airplane,0.936496913433075,cpu,True,0.16576418280601501,0.4209044277667999,D:\IE_643_Project\results\phase1_baseline\figures\resnet18_plug_in_aug_sigmoid_class0_airplane_seed42.png,32,0.04883080720901489,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,20,-0.08737099170684814,0.03,0.01,1.1193574666976929,122,3,2,0.5650385618209839,499,0.7850924134254456,10,1.2166721820831299,plug_in_aug_sigmoid,11173962,sigmoid,local CIFAR-10 checkpoint: resnet18_cifar10_trained.pth,500,train,100.16236929991283,42,"(7, 21, 42)",102,500,300,0.12459652870893478,0,0.12459652870893478,5,True,0.0451819971203804,True,resnet18,0.025,0.5,1.0,7e-05,0.1,0.25,0.04,local_cifar10,3e-05
0.10865061730146408,9.639678018804291,0.023356499150395393,1.0004401206970215,1,0.27036543413996694,1016,D:\IE_643_Project\pre_trained_model_weights\resnet18_cifar10_trained.pth,1,"(0, 1, 8)",automobile,0.9627034068107605,cpu,True,0.14880627393722534,0.45632925629615784,D:\IE_643_Project\results\phase1_baseline\figures\resnet18_plug_in_aug_sigmoid_class1_automobile_seed7.png,32,0.03690828010439873,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,20,-0.10305284708738327,0.03,0.01,1.0169395208358765,122,3,2,0.9626779556274414,231,0.7448849678039551,10,1.236420750617981,plug_in_aug_sigmoid,11173962,sigmoid,local CIFAR-10 checkpoint: resnet18_cifar10_trained.pth,500,train,98.84404870006256,7,"(7, 21, 42)",102,500,300,0.13132084906101227,1,0.13132084906101227,5,True,0.03734485059976578,True,resnet18,0.025,0.5,1.0,7e-05,0.1,0.25,0.04,local_cifar10,3e-05
0.052271757274866104,12.817328995205933,0.02674318663775921,0.9998169541358948,0,0.2578837532550097,21,D:\IE_643_Project\pre_trained_model_weights\resnet18_cifar10_trained.pth,1,"(0, 1, 8)",automobile,0.9798299670219421,cpu,True,0.13137078285217285,0.2850898802280426,D:\IE_643_Project\results\phase1_baseline\figures\resnet18_plug_in_aug_sigmoid_class1_automobile_seed21.png,32,0.04865807294845581,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,20,-0.058155376464128494,0.03,0.01,1.1010621786117554,122,3,2,0.6000437140464783,377,0.7366475462913513,10,1.098920464515686,plug_in_aug_sigmoid,11173962,sigmoid,local CIFAR-10 checkpoint: resnet18_cifar10_trained.pth,500,train,118.90322889992967,21,"(7, 21, 42)",102,500,300,0.12056674808263779,1,0.12056674808263779,5,True,0.029515810310840607,True,resnet18,0.025,0.5,1.0,7e-05,0.1,0.25,0.04,local_cifar10,3e-05
0.07432281970977783,11.288778221418738,-0.003290855558589101,1.0006628036499023,1,0.306217298656702,1051,D:\IE_643_Project\pre_trained_model_weights\resnet18_cifar10_trained.pth,1,"(0, 1, 8)",automobile,0.9020702242851257,cpu,True,0.19971102476119995,0.427948921918869,D:\IE_643_Project\results\phase1_baseline\figures\resnet18_plug_in_aug_sigmoid_class1_automobile_seed42.png,32,0.07634061574935913,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,20,-0.2890808582305908,0.03,0.01,0.9799826741218567,122,3,2,0.5949839949607849,377,0.813424825668335,10,1.152632713317871,plug_in_aug_sigmoid,11173962,sigmoid,local CIFAR-10 checkpoint: resnet18_cifar10_trained.pth,500,train,122.14369850000367,42,"(7, 21, 42)",102,500,300,0.16103367507457733,1,0.16103367507457733,5,True,0.07235224545001984,True,resnet18,0.025,0.5,1.0,7e-05,0.1,0.25,0.04,local_cifar10,3e-05
0.23821450769901276,6.2303179271989535,0.031578127294778824,1.0007165670394897,0,0.2598950609564781,7,D:\IE_643_Project\pre_trained_model_weights\resnet18_cifar10_trained.pth,8,"(0, 1, 8)",ship,0.9565282464027405,cpu,True,0.13691343367099762,0.4633397161960602,D:\IE_643_Project\results\phase1_baseline\figures\resnet18_plug_in_aug_sigmoid_class8_ship_seed7.png,32,0.03868876397609711,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,20,-0.020322494208812714,0.03,0.01,1.0968173742294312,122,3,2,0.9689964056015015,250,0.7475345134735107,10,1.2686991691589355,plug_in_aug_sigmoid,11173962,sigmoid,local CIFAR-10 checkpoint: resnet18_cifar10_trained.pth,500,train,127.66587339993566,7,"(7, 21, 42)",102,500,300,0.11839526891708374,8,0.11839526891708374,5,True,0.03830341994762421,True,resnet18,0.025,0.5,1.0,7e-05,0.1,0.25,0.04,local_cifar10,3e-05
0.15414144098758698,8.120805853394204,0.015005439519882202,0.9992372393608093,0,0.27208234667778014,21,D:\IE_643_Project\pre_trained_model_weights\resnet18_cifar10_trained.pth,8,"(0, 1, 8)",ship,0.9526384472846985,cpu,True,0.16048917174339294,0.2880399525165558,D:\IE_643_Project\results\phase1_baseline\figures\resnet18_plug_in_aug_sigmoid_class8_ship_seed21.png,32,0.06988368183374405,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,20,-0.0024195536971092224,0.03,0.01,1.1740068197250366,122,3,2,0.5872541666030884,444,0.7383708357810974,10,1.1121412515640259,plug_in_aug_sigmoid,11173962,sigmoid,local CIFAR-10 checkpoint: resnet18_cifar10_trained.pth,500,train,138.30235500005074,21,"(7, 21, 42)",102,500,300,0.11953645944595337,8,0.11953645944595337,5,True,0.05504611134529114,True,resnet18,0.025,0.5,1.0,7e-05,0.1,0.25,0.04,local_cifar10,3e-05
0.29143601655960083,5.354567778010269,0.03444134071469307,0.9997119903564453,1,0.24847533032298086,1051,D:\IE_643_Project\pre_trained_model_weights\resnet18_cifar10_trained.pth,8,"(0, 1, 8)",ship,0.9859991073608398,cpu,True,0.12412185966968536,0.4185299873352051,D:\IE_643_Project\results\phase1_baseline\figures\resnet18_plug_in_aug_sigmoid_class8_ship_seed42.png,32,0.026487043127417564,0.01,0.5,1.0,0.0001,0.1,1e-05,project_safe_compatible_layers,20,0.06164643168449402,0.03,0.01,1.2239844799041748,122,3,2,0.5818119645118713,406,0.7653372287750244,10,1.279299259185791,plug_in_aug_sigmoid,11173962,sigmoid,local CIFAR-10 checkpoint: resnet18_cifar10_trained.pth,500,train,129.0284265000373,42,"(7, 21, 42)",102,500,300,0.10404114425182343,4,0.10799608379602432,5,True,0.023400645703077316,True,resnet18,0.025,0.5,1.0,7e-05,0.1,0.25,0.04,local_cifar10,3e-05
